epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6162.68,0.80594,0.54876,1.05013,0.88827,0.96094,0.90659,0.67484,0.90337,0.52052,1.27138,0.0003368,0.0003368,0.0003368
86,6235.48,0.79438,0.53411,1.03833,0.89157,0.96355,0.90793,0.68732,0.88802,0.50079,1.26545,0.000317,0.000317,0.000317
87,6309.08,0.78352,0.52588,1.03915,0.87866,0.96178,0.91825,0.68465,0.90923,0.51711,1.27458,0.0002972,0.0002972,0.0002972
88,6383.75,0.8117,0.55298,1.05329,0.87541,0.96094,0.9063,0.67629,0.89723,0.53223,1.26775,0.0002774,0.0002774,0.0002774
89,6458.57,0.77421,0.52852,1.02424,0.85565,0.96484,0.90532,0.6863,0.88764,0.52256,1.26396,0.0002576,0.0002576,0.0002576
90,6532.77,0.7644,0.50621,1.02444,0.87007,0.96875,0.91217,0.68635,0.88692,0.51217,1.26996,0.0002378,0.0002378,0.0002378
91,6607.79,0.76481,0.49343,1.04874,0.8849,0.95703,0.90601,0.6724,0.90048,0.51615,1.28263,0.000218,0.000218,0.000218
92,6680.83,0.72505,0.4502,1.02561,0.86081,0.96484,0.89802,0.68203,0.87142,0.5156,1.25968,0.0001982,0.0001982,0.0001982
93,6752.24,0.7116,0.45132,1.01562,0.88259,0.96484,0.91719,0.69532,0.86463,0.50478,1.26214,0.0001784,0.0001784,0.0001784
94,6823.48,0.69696,0.43844,1.00772,0.88223,0.95312,0.91434,0.69448,0.86556,0.5048,1.27613,0.0001586,0.0001586,0.0001586
95,6896.2,0.68714,0.42809,0.99799,0.88274,0.96484,0.91534,0.69516,0.85981,0.5017,1.25394,0.0001388,0.0001388,0.0001388
96,6969.11,0.68442,0.43992,0.99266,0.88253,0.95703,0.91438,0.69488,0.85528,0.49541,1.25257,0.000119,0.000119,0.000119
97,7041.39,0.66556,0.42003,0.99031,0.87282,0.96508,0.91478,0.6985,0.83839,0.49608,1.24185,9.92e-05,9.92e-05,9.92e-05
98,7112.34,0.66027,0.40954,0.98501,0.88632,0.96484,0.92043,0.70863,0.84211,0.49482,1.23822,7.94e-05,7.94e-05,7.94e-05
99,7183.48,0.65779,0.41335,0.98487,0.87883,0.95312,0.91817,0.70618,0.83522,0.48549,1.24018,5.96e-05,5.96e-05,5.96e-05
100,7255.87,0.65699,0.41559,0.9864,0.88409,0.95703,0.91761,0.71593,0.82633,0.48616,1.23423,3.98e-05,3.98e-05,3.98e-05
